Expression	Value	Location	Type	
triggerWaveform	Error (col 1): Unknown or ambiguous symbol. triggerWaveform			
waveformInput	<array>	0x2000'0074	uint16_t[2048]	
waveformCapture	<array>	0x2000'1144	float32_t[1024]	
waveformProcessed	<array>	0x2000'2150	float32_t[512]	
[0]	1.27'778'125E+3	0x2000'2150	float32_t	
[1]	8.90'110'412E+2	0x2000'2154	float32_t	
[2]	3.72'025'854E+3	0x2000'2158	float32_t	
[3]	1.56'406'042E+3	0x2000'215c	float32_t	
[4]	9.25'902'832E+2	0x2000'2160	float32_t	
[5]	3.17'913'794E+3	0x2000'2164	float32_t	
[6]	7.45'437'378E+2	0x2000'2168	float32_t	
[7]	2.17'009'814E+3	0x2000'216c	float32_t	
[8]	3.5'569'809E+2	0x2000'2170	float32_t	
[9]	7.80'613'022E+1	0x2000'2174	float32_t	
[10]	3.22'282'379E+2	0x2000'2178	float32_t	
[11]	1.6'588'125E+3	0x2000'217c	float32_t	
[12]	1.25'461'133E+3	0x2000'2180	float32_t	
[13]	1.25'680'994E+3	0x2000'2184	float32_t	
[14]	3.65'513'525E+3	0x2000'2188	float32_t	
[15]	2.7'379'917E+3	0x2000'218c	float32_t	
[16]	3.45'403'992E+2	0x2000'2190	float32_t	
[17]	2.43'879'608E+2	0x2000'2194	float32_t	
[18]	4.64'343'658E+2	0x2000'2198	float32_t	
[19]	5.52'360'535E+2	0x2000'219c	float32_t	
[20]	4.49'835'571E+2	0x2000'21a0	float32_t	
[21]	6.58'525'635E+2	0x2000'21a4	float32_t	
[22]	2.89'941'894E+2	0x2000'21a8	float32_t	
[23]	5.30'501'221E+2	0x2000'21ac	float32_t	
[24]	2.32'414'978E+2	0x2000'21b0	float32_t	
[25]	2.90'136'352E+2	0x2000'21b4	float32_t	
[26]	7.56'502'808E+2	0x2000'21b8	float32_t	
[27]	4.55'024'322E+2	0x2000'21bc	float32_t	
[28]	6.3'857'135E+2	0x2000'21c0	float32_t	
[29]	1.24'306'114E+2	0x2000'21c4	float32_t	
[30]	2.20'238'342E+2	0x2000'21c8	float32_t	
[31]	1.1'478'965E+2	0x2000'21cc	float32_t	
[32]	3.68'267'303E+2	0x2000'21d0	float32_t	
[33]	3.33'517'761E+2	0x2000'21d4	float32_t	
[34]	2.31'431'381E+2	0x2000'21d8	float32_t	
[35]	1.67'632'858E+2	0x2000'21dc	float32_t	
[36]	1.3'855'777E+2	0x2000'21e0	float32_t	
[37]	1.51'198'227E+2	0x2000'21e4	float32_t	
[38]	4.181'427E+2	0x2000'21e8	float32_t	
[39]	1.65'699'585E+2	0x2000'21ec	float32_t	
[40]	2.5'893'222E+2	0x2000'21f0	float32_t	
[41]	3.63'608'398E+1	0x2000'21f4	float32_t	
[42]	7.67'101'364E+1	0x2000'21f8	float32_t	
[43]	2.39'800'396E+1	0x2000'21fc	float32_t	
[44]	1.56'762'329E+2	0x2000'2200	float32_t	
[45]	3.69'847'717E+2	0x2000'2204	float32_t	
